Participant,Group,Question_ID,CARE_Dimension,Rating,Motivation,Initial Code,Final Theme
Group_B_results_20260511_161636,B,4,Responsible (Verifiability),3,Do not see hallucinations but probably if I would use it really in my research I would double check the things said,Desire for Direct Provenance,The Provenance Gap
Group_B_results_20260511_161636,B,5,Responsible (Capabilities/Limitations),2,Not really with this experiment.,General Feedback,Baseline Collaboration
Group_B_results_20260511_161636,B,6,Explainable (Reasoning),4,"Yes, the questions where clear also",Appreciates Relationships,Contextual Grounding
Group_B_results_20260511_161636,B,7,Explainable (Confidence/Trust),5,Definitely does,General Feedback,Baseline Collaboration
Group_B_results_20260511_125948,B,0,Collaborative (Accurate/Complete),4,"In the KG generated for the score of the evaluation on the specific dataset, there was realtion between the llm and the score but no realtion between the dataset and the score.",Conditional Skepticism,Calibrated Trust
Group_B_results_20260511_125948,B,1,Collaborative (Domain Understanding),4,Yes it was clear but not comprehensive,Conditional Skepticism,Calibrated Trust
Group_B_results_20260511_125948,B,2,Adaptive (Background/Complexity),5,Definitely,General Feedback,Baseline Collaboration
Group_B_results_20260511_125948,B,3,Adaptive (Tailored Presentation),5,The information was helpful,Surface Plausibility,Baseline Collaboration
Group_B_results_20260511_125948,B,4,Responsible (Verifiability),4,Yes that was abvious,Surface Plausibility,Baseline Collaboration
Group_B_results_20260511_125948,B,5,Responsible (Capabilities/Limitations),4,"I see the demo is helpful for quick understanding of the answer, however, it could be more comprehensive",Conditional Skepticism,Calibrated Trust
Group_B_results_20260511_125948,B,6,Explainable (Reasoning),4,"Yes based on the provided text, I cloud see the reasoning for the answer",Surface Plausibility,Baseline Collaboration
Group_B_results_20260511_125948,B,7,Explainable (Confidence/Trust),4,Yes it does,Surface Plausibility,Baseline Collaboration
Group_A_results_20260511_125748,A,0,Collaborative (Accurate/Complete),4,"It is difficult to assess the completeness as this requires in-depth domain knowledge. However, the results appear to be extensive and accurate.",Invisible Reasoning,Process Opacity
Group_A_results_20260511_125748,A,1,Collaborative (Domain Understanding),5,"The replies were written very convincingly. In my perception, this indicated a clear understanding of the domain, but this could also be the result of the halo-effect, where the perception of confidence influenced my judgment.",Vague Feedback,Passive Engagement
Group_A_results_20260511_125748,A,2,Adaptive (Background/Complexity),4,"Yes, the background was very usefull, but it would have been better if it also included references to papers where the model got the information from. This was mainly lacking in the phase of identifying the gaps in literature. This would also make it easier to use the results in our own papers, as now we would need to cite this information with 'my LLM said so'",Invisible Reasoning,Process Opacity
Group_A_results_20260511_125748,A,3,Adaptive (Tailored Presentation),5,No real comments.,Invisible Reasoning,Process Opacity
Group_A_results_20260511_125748,A,4,Responsible (Verifiability),3,"Like I said earlier, some replies missed the necessary citations to be able to validate the results.",Vague Feedback,Passive Engagement
Group_A_results_20260511_125748,A,5,Responsible (Capabilities/Limitations),4,I think this is mainly because of my background knowledge with using similar systems. It might be good to include a disclaimer or something in the beginning.,Invisible Reasoning,Process Opacity
Group_A_results_20260511_125748,A,6,Explainable (Reasoning),3,"I don't really understand this question. What do you mean with reasoning? Is it why the LLM gave the specific answers? If so, it look alright, but I did not have an in depth understanding of what was happening.",Invisible Reasoning,Process Opacity
Group_A_results_20260511_125748,A,7,Explainable (Confidence/Trust),5,For sure,Vague Feedback,Passive Engagement
Group_B_results_20260511_162146,B,0,Collaborative (Accurate/Complete),5,"They were, and the provenance informations about the paper helped in that! could be nice to also have a DOI for easier search ability of the references",Desire for Direct Provenance,The Provenance Gap
Group_B_results_20260511_162146,B,1,Collaborative (Domain Understanding),5,"Yes, by connecting the dots across topics",Surface Plausibility,Baseline Collaboration
Group_B_results_20260511_162146,B,2,Adaptive (Background/Complexity),5,"Yes, the system helped breaking down the task in steps",Surface Plausibility,Baseline Collaboration
Group_B_results_20260511_162146,B,3,Adaptive (Tailored Presentation),4,"Yes, even though it still requires some background knowledge on the user side",Appreciates Relationships,Contextual Grounding
Group_B_results_20260511_162146,B,4,Responsible (Verifiability),5,"Yes, but links to sources would make it easier",Desire for Direct Provenance,The Provenance Gap
Group_B_results_20260511_162146,B,5,Responsible (Capabilities/Limitations),3,No emphasis on limitations,General Feedback,Baseline Collaboration
Group_B_results_20260511_162146,B,6,Explainable (Reasoning),4,Yes in the detailed explanation,Surface Plausibility,Baseline Collaboration
Group_B_results_20260511_162146,B,7,Explainable (Confidence/Trust),5,Yes the possibility of seeing the reasoning steps helped,Surface Plausibility,Baseline Collaboration
Group_B_results_20260512_154157,B,0,Collaborative (Accurate/Complete),3,I felt needed to double check for some information in general.,Desire for Direct Provenance,The Provenance Gap
Group_B_results_20260512_154157,B,1,Collaborative (Domain Understanding),4,It was clear with the provided references.,Desire for Direct Provenance,The Provenance Gap
Group_B_results_20260512_154157,B,2,Adaptive (Background/Complexity),4,"In term of explaining the terminology, it provided me to handle complexity of the answer.",Conditional Skepticism,Calibrated Trust
Group_B_results_20260512_154157,B,3,Adaptive (Tailored Presentation),5,"Yes, and the graphs were helped to understand better.",Appreciates Relationships,Contextual Grounding
Group_B_results_20260512_154157,B,4,Responsible (Verifiability),4,Need to double check references.,Desire for Direct Provenance,The Provenance Gap
Group_B_results_20260512_154157,B,5,Responsible (Capabilities/Limitations),4,The system may require to have improvisation.,General Feedback,Baseline Collaboration
Group_B_results_20260512_154157,B,6,Explainable (Reasoning),3,It was quite clear while reading the information.,Appreciates Relationships,Contextual Grounding
Group_B_results_20260512_154157,B,7,Explainable (Confidence/Trust),4,It helped to increase to use my time efficiently.,General Feedback,Baseline Collaboration
Group_A_results_20260511_125442,A,0,Collaborative (Accurate/Complete),5,They contained the required info,Vague Feedback,Passive Engagement
Group_A_results_20260511_125442,A,1,Collaborative (Domain Understanding),5,The answers were directly answering that question,Vague Feedback,Passive Engagement
Group_A_results_20260511_125442,A,2,Adaptive (Background/Complexity),4,The answers provided some context,Vague Feedback,Passive Engagement
Group_A_results_20260511_125442,A,3,Adaptive (Tailored Presentation),5,All the information displayed seems relevant,Vague Feedback,Passive Engagement
Group_A_results_20260511_125442,A,4,Responsible (Verifiability),3,"In principle yes, but this process could be made easier by pointing to parts of the papers",Demands External Sources,The Black Box Loop
Group_A_results_20260511_125442,A,5,Responsible (Capabilities/Limitations),3,It gives a vague idea of some limitations,Vague Feedback,Passive Engagement
Group_A_results_20260511_125442,A,6,Explainable (Reasoning),4,In the details panel some of the reasoning emerges,Vague Feedback,Passive Engagement
Group_A_results_20260511_125442,A,7,Explainable (Confidence/Trust),4,Swing the process leading to an answer increases trust,Vague Feedback,Passive Engagement
Group_A_results_20260511_125053,A,0,Collaborative (Accurate/Complete),3,My domain knowledge is too limited to assess this,Invisible Reasoning,Process Opacity
Group_A_results_20260511_125053,A,1,Collaborative (Domain Understanding),4,"It seemed so, but I don't know this research area well enough.",Invisible Reasoning,Process Opacity
Group_A_results_20260511_125053,A,2,Adaptive (Background/Complexity),4,"I could see this being helpful. On the specific examples, I decided to skip this part as it was too technical for me.",Vague Feedback,Passive Engagement
Group_A_results_20260511_125053,A,3,Adaptive (Tailored Presentation),4,I got the idea,Vague Feedback,Passive Engagement
Group_A_results_20260511_125053,A,4,Responsible (Verifiability),4,"References were given, which I could probably look up",Demands External Sources,The Black Box Loop
Group_A_results_20260511_125053,A,5,Responsible (Capabilities/Limitations),2,Hard to tell without knowledge of the domain.,Invisible Reasoning,Process Opacity
Group_A_results_20260511_125053,A,6,Explainable (Reasoning),2,I didn't check the detailed answers in detail.,Invisible Reasoning,Process Opacity
Group_A_results_20260511_125053,A,7,Explainable (Confidence/Trust),4,I am not sure what to say here.,Invisible Reasoning,Process Opacity
Group_B_results_20260512_182748,B,0,Collaborative (Accurate/Complete),5,"From what I understood about the topic, it seemed to have a good understanding of it",Surface Plausibility,Baseline Collaboration
Group_B_results_20260512_182748,B,1,Collaborative (Domain Understanding),5,It seems to understand well,General Feedback,Baseline Collaboration
Group_B_results_20260512_182748,B,2,Adaptive (Background/Complexity),5,"As a visual learner, it allowed me to fully grasp the task",Appreciates Relationships,Contextual Grounding
Group_B_results_20260512_182748,B,3,Adaptive (Tailored Presentation),4,"It was mostly precise to the premise of the question l, sometimes providing important context.",Appreciates Relationships,Contextual Grounding
Group_B_results_20260512_182748,B,4,Responsible (Verifiability),3,"I could follow the reasoning behind the answers, however verifying would require external knowledge/research which I didn’t do",Desire for Direct Provenance,The Provenance Gap
Group_B_results_20260512_182748,B,5,Responsible (Capabilities/Limitations),5,"Same as most llms have limits, not everything is perfect",General Feedback,Baseline Collaboration
Group_B_results_20260512_182748,B,6,Explainable (Reasoning),5,This was easy to follow,General Feedback,Baseline Collaboration
Group_B_results_20260512_182748,B,7,Explainable (Confidence/Trust),5,It helped with my visualization of the underlying concept that allowed me to conceptualize everything better,Appreciates Relationships,Contextual Grounding
Group_A_results_20260508_145536,A,0,Collaborative (Accurate/Complete),4,It Seemed! But hard to say if they are complete without having the original papers etc.,Invisible Reasoning,Process Opacity
Group_A_results_20260508_145536,A,1,Collaborative (Domain Understanding),4,"It could reason about it, but weather is understanding I am not sure.",Invisible Reasoning,Process Opacity
Group_A_results_20260508_145536,A,2,Adaptive (Background/Complexity),5,I agrer,Vague Feedback,Passive Engagement
Group_A_results_20260508_145536,A,3,Adaptive (Tailored Presentation),5,Did not feel tailored but non the less useful.,Invisible Reasoning,Process Opacity
Group_A_results_20260508_145536,A,4,Responsible (Verifiability),5,"Especially with one paper at a time, it should be possible to check.",Demands External Sources,The Black Box Loop
Group_A_results_20260508_145536,A,5,Responsible (Capabilities/Limitations),3,"Not really, too short Interaction to understand",Invisible Reasoning,Process Opacity
Group_A_results_20260508_145536,A,6,Explainable (Reasoning),4,I agree,Vague Feedback,Passive Engagement
Group_A_results_20260508_145536,A,7,Explainable (Confidence/Trust),3,That paper is very very popular. Im not sure it will work with others.,Invisible Reasoning,Process Opacity
Group_A_results_20260511_125215,A,0,Collaborative (Accurate/Complete),5,They seemed reliable and provided detailed statistics and sources,Demands External Sources,The Black Box Loop
Group_A_results_20260511_125215,A,1,Collaborative (Domain Understanding),5,At least it seems so,Vague Feedback,Passive Engagement
Group_A_results_20260511_125215,A,2,Adaptive (Background/Complexity),5,"For literature review definitely, but i will still have to verify them",Vague Feedback,Passive Engagement
Group_A_results_20260511_125215,A,3,Adaptive (Tailored Presentation),4,I’m not familiar with this field..,Invisible Reasoning,Process Opacity
Group_A_results_20260511_125215,A,4,Responsible (Verifiability),5,text bold helped,Uncritical Acceptance,Automation Bias
Group_A_results_20260511_125215,A,5,Responsible (Capabilities/Limitations),4,I’m not sure. I feel it can sort out current research. Im not sure of its capability of reasoning,Invisible Reasoning,Process Opacity
Group_A_results_20260511_125215,A,6,Explainable (Reasoning),4,Kind of,Vague Feedback,Passive Engagement
Group_A_results_20260511_125215,A,7,Explainable (Confidence/Trust),4,"Would be useful ofc. It could be better tho, if everything it mentioned could also provide a link to the papers so i can check them quickly",Demands External Sources,The Black Box Loop
Group_B_results_20260511_125648,B,0,Collaborative (Accurate/Complete),4,Its answers all seem to be based on something.,General Feedback,Baseline Collaboration
Group_B_results_20260511_125648,B,1,Collaborative (Domain Understanding),5,Knowledge graphs make understanding clearer.,Appreciates Relationships,Contextual Grounding
Group_B_results_20260511_125648,B,2,Adaptive (Background/Complexity),4,Knowledge graph,Appreciates Relationships,Contextual Grounding
Group_B_results_20260511_125648,B,3,Adaptive (Tailored Presentation),4,The form of information presentation is very good.,Surface Plausibility,Baseline Collaboration
Group_B_results_20260511_125648,B,4,Responsible (Verifiability),5,Its answers all seem to be based on something.,General Feedback,Baseline Collaboration
Group_B_results_20260511_125648,B,5,Responsible (Capabilities/Limitations),3,"It seems that I can't change the question, so I'm not sure about the system limitations.",General Feedback,Baseline Collaboration
Group_B_results_20260511_125648,B,6,Explainable (Reasoning),4,Yes I can see some reasoning,Surface Plausibility,Baseline Collaboration
Group_B_results_20260511_125648,B,7,Explainable (Confidence/Trust),4,Yes it increases my confidence,Surface Plausibility,Baseline Collaboration
Group_B_results_20260512_151955,B,0,Collaborative (Accurate/Complete),3,"The system handled straightforward factual questions well, especially when the KG supported the answer. However, for more complex literature-analysis and synthesis tasks, some responses seemed less reliable. I cannot say with certainty that the answers were wrong, but some benchmark details and literature references felt insufficiently grounded.",Desire for Direct Provenance,The Provenance Gap
Group_B_results_20260512_151955,B,1,Collaborative (Domain Understanding),4,"The system generally showed a good understanding of the scientific domain and used relevant concepts, benchmarks, and terminology. The integration of KG helped connect related information and provide contextualized answers, but in some of the more complex research-oriented queries, certain claims felt somewhat uncertain or insufficiently verified, so I was not fully confident in all outputs.",Conditional Skepticism,Calibrated Trust
Group_B_results_20260512_151955,B,2,Adaptive (Background/Complexity),4,"The background explanations and the evidence graph helped make the answers easier to follow, especially for more complex research questions. The graph structure was useful for understanding how concepts, papers, and benchmarks were connected, and it helped reduce some of the complexity of the task. However, in some cases the additional context also made uncertain claims appear more authoritative than they may actually have been.",Conditional Skepticism,Calibrated Trust
Group_B_results_20260512_151955,B,3,Adaptive (Tailored Presentation),4,"The combination of textual explanations and graph visualization made the information easier to understand and navigate. The keywords and relationships helped clarify how the answer was constructed and provided useful context. In some cases, however,  the underlying evidence was not fully clear, considering the ""high confidence"" of the answers.",Conditional Skepticism,Calibrated Trust
Group_B_results_20260512_151955,B,4,Responsible (Verifiability),3,"The evidence graph and keywords helped me trace where parts of the answers were coming from, especially for factual queries. But again, for complex synthesis and literature-related tasks, it was sometimes difficult to determine whether connections shown in the graph represented verified evidence or semantic associations inferred by the system.",Conditional Skepticism,Calibrated Trust
Group_B_results_20260512_151955,B,5,Responsible (Capabilities/Limitations),4,"The interface and graph structure made it relatively clear that the system combines LLM-based generation with KG connections. Also, thanks to the initial examples, it was easier to understand that the system performs better on straightforward factual retrieval.",Appreciates Relationships,Contextual Grounding
Group_B_results_20260512_151955,B,6,Explainable (Reasoning),4,"The graph visualization and contextual explanations helped make the reasoning process more transparent by showing relationships between concepts, papers, and benchmarks. While the full reasoning process was not always completely verifiable, the system still provided more interpretability than a black-box response.",Appreciates Relationships,Contextual Grounding
Group_B_results_20260512_151955,B,7,Explainable (Confidence/Trust),3,"Seeing the graph and intermediate connections increased my understanding of how the answers were generated and made the process feel more transparent. At the same time, some responses appeared more certain than the available evidence justified, so I would still independently verify information before using it in research.",Desire for Direct Provenance,The Provenance Gap
Group_B_results_20260518_151704,B,0,Collaborative (Accurate/Complete),3,The KGs generated were quite small and seemed to lack key details. The textual answers were also sometimes quite focused where I would have expected some more variation.,General Feedback,Baseline Collaboration
Group_B_results_20260518_151704,B,1,Collaborative (Domain Understanding),3,The KG visualisation was quite general and I missed scientific detail.,Appreciates Relationships,Contextual Grounding
Group_B_results_20260518_151704,B,2,Adaptive (Background/Complexity),4,the combination of visual and textual information is helpful.,Appreciates Relationships,Contextual Grounding
Group_B_results_20260518_151704,B,3,Adaptive (Tailored Presentation),4,the combination of visual and textual information is nice.,Appreciates Relationships,Contextual Grounding
Group_B_results_20260518_151704,B,4,Responsible (Verifiability),2,"Not really, I was missing references to source documents",Desire for Direct Provenance,The Provenance Gap
Group_B_results_20260518_151704,B,5,Responsible (Capabilities/Limitations),3,Which part of the KG was shown was not always clear to me,Appreciates Relationships,Contextual Grounding
Group_B_results_20260518_151704,B,6,Explainable (Reasoning),3,The retrieval reasoning wasnt always clear,Appreciates Relationships,Contextual Grounding
Group_B_results_20260518_151704,B,7,Explainable (Confidence/Trust),3,I am not sure I saw much of the underlying process. I would have liked more references to source documents,Desire for Direct Provenance,The Provenance Gap
Group_A_results_20260511_125521,A,0,Collaborative (Accurate/Complete),5,I am fairly confident in the info retrieved by the system,Vague Feedback,Passive Engagement
Group_A_results_20260511_125521,A,1,Collaborative (Domain Understanding),4,"I would not say it is a case of ""understanding"". Rather,  the system can retrieve relevant knowledge that enables my own understanding of the topic.",Invisible Reasoning,Process Opacity
Group_A_results_20260511_125521,A,2,Adaptive (Background/Complexity),5,The background text is reassuring.,Vague Feedback,Passive Engagement
Group_A_results_20260511_125521,A,3,Adaptive (Tailored Presentation),5,The text felt approachable.,Uncritical Acceptance,Automation Bias
Group_A_results_20260511_125521,A,4,Responsible (Verifiability),3,"While every answer is presented in both a brief and underdtandable snippet and in an on-demand, in-depth background text, I feel like this background text does not really let me ""verify"" the facts, as it is yet another machine-generater (summary) test. I would need linked references to the actual text to feel confident.",Invisible Reasoning,Process Opacity
Group_A_results_20260511_125521,A,5,Responsible (Capabilities/Limitations),4,I think understanding of limitations comes a lot from one's AI literacy. Perhaps the tutorial for the use of the system should clearly state the limits.,Vague Feedback,Passive Engagement
Group_A_results_20260511_125521,A,6,Explainable (Reasoning),4,"I can use the background text as a double check on the veracity of the information provided, so it is ""explainable"" in this sense. I would not say it is too ""explainable"" in the sense of the system's functioning, which is still not too clear to me",Invisible Reasoning,Process Opacity
Group_A_results_20260511_125521,A,7,Explainable (Confidence/Trust),3,I would still need to check the original sources before using them for research.,Demands External Sources,The Black Box Loop
Group_A_results_20260511_130221,A,0,Collaborative (Accurate/Complete),3,I would've felt the answers were accurate and complete if it provided sources which were used to arrive at the summary.,Demands External Sources,The Black Box Loop
Group_A_results_20260511_130221,A,1,Collaborative (Domain Understanding),3,Considering the bias I have towards LLM based answers I consider this to be the appropriate rating.,Vague Feedback,Passive Engagement
Group_A_results_20260511_130221,A,2,Adaptive (Background/Complexity),3,Yes. If I had completely trusted the answers I would have rated it 5.,Uncritical Acceptance,Automation Bias
Group_A_results_20260511_130221,A,3,Adaptive (Tailored Presentation),4,Structuring of the information was good.,Uncritical Acceptance,Automation Bias
Group_A_results_20260511_130221,A,4,Responsible (Verifiability),3,I did not perform any action for verfying the facts.,Invisible Reasoning,Process Opacity
Group_A_results_20260511_130221,A,5,Responsible (Capabilities/Limitations),1,Nope..,Invisible Reasoning,Process Opacity
Group_A_results_20260511_130221,A,6,Explainable (Reasoning),1,Nope..,Invisible Reasoning,Process Opacity
Group_A_results_20260511_130221,A,7,Explainable (Confidence/Trust),1,Nope..,Invisible Reasoning,Process Opacity
Group_B_results_20260511_125628,B,0,Collaborative (Accurate/Complete),3,"Some of the titles were a bit inconsistent (Mobile LLM vs Mobile LLU) and the LLM hallucination mitigation part had the current research as the main answer, and left the gaps only in the ""extended reasoning"" section (when we had specifically asked for gaps and novel RQs). The rest was good.",Conditional Skepticism,Calibrated Trust
Group_B_results_20260511_125628,B,1,Collaborative (Domain Understanding),4,Yes it was all plausible.,Appreciates Relationships,Contextual Grounding
Group_B_results_20260511_125628,B,2,Adaptive (Background/Complexity),4,That was pretty helpful to make me trust it a bit more.,Surface Plausibility,Baseline Collaboration
Group_B_results_20260511_125628,B,3,Adaptive (Tailored Presentation),4,Yes definitely!,Surface Plausibility,Baseline Collaboration
Group_B_results_20260511_125628,B,4,Responsible (Verifiability),4,"I have some background with transformer models so I could verify most of it. However with the mitigation research I wasn't sure of the assistant's assertion of there just being ""two main strands"" of that research. I would guess there being more.",Desire for Direct Provenance,The Provenance Gap
Group_B_results_20260511_125628,B,5,Responsible (Capabilities/Limitations),4,I would want to know more about internal workings (like how does the knowledge graph interact with the LLM's text response?),Appreciates Relationships,Contextual Grounding
Group_B_results_20260511_125628,B,6,Explainable (Reasoning),4,"What I saw between the graph, entities in the text and the 'know more"" section was at least a plausible explanation. I'm not sure if it's the actual reasoning but from a quick glance, it checks out.",Conditional Skepticism,Calibrated Trust
Group_B_results_20260511_125628,B,7,Explainable (Confidence/Trust),3,Definitely. Though I would want to know more about how the system specifically works to get this information. I would use it more for background questions instead of identifying gaps and novel RQs.,Appreciates Relationships,Contextual Grounding
